name,position,team_games_played,time_played,successful_layoffs,open_play_passes,times_tackled,backward_passes,successful_passes_opposition_half,unsuccessful_launches,unsuccessful_long_passes,aerial_duels_lost,total_losses_of_possession,successful_passes_own_half,total_tackles,total_passes,substitute_off,successful_short_passes,goals_conceded_inside_box,total_unsuccessful_passes_excl_crosses_corners,unsuccessful_passes_opposition_half,starts,touches,appearances,ground_duels,forward_passes,index,duels_won,total_fouls_won,aerial_duels_won,duels,goals_conceded,games_played,ground_duels_lost,leftside_passes,successful_open_play_passes,total_successful_passes_excl_crosses_corners,aerial_duels,tackles_won,duels_lost,ground_duels_won,winning_goal,unsuccessful_crosses_open_play,substitute_on,putthrough_blocked_distribution_won,shots_off_target_inc_woodwork,unsuccessful_short_passes,penalty_goals_conceded,total_fouls_conceded,total_shots,key_passes_attempt_assists,putthrough_blocked_distribution,total_touches_in_opposition_box,unsuccessful_dribbles,unsuccessful_crosses_corners,hit_woodwork,tackles_lost,throw_ins_to_own_player,fifty_fifty,goals,corners_won,successful_crosses_corners,successful_dribbles,successful_corners_into_box,rightside_passes,blocked_shots,recoveries,successful_fifty_fifty,unsuccessful_passes_own_half,corners_taken_incl_short_corners,shots_on_target_inc_goals,attempts_from_set_pieces,successful_long_passes,total_clearances,left_foot_goals,foul_won_penalty,unsuccessful_corners_into_box,goals_from_inside_box,penalties_taken,penalty_goals,interceptions,offsides,right_foot_goals,goal_assists,successful_launches,throw_ins_to_opposition_player,foul_attempted_tackle,yellow_cards,blocks,successful_crosses_open_play,handballs_conceded,assists_intentional,clean_sheets,gk_successful_distribution,penalties_conceded,goals_conceded_outside_box,total_red_cards,red_cards_2nd_yellow,straight_red_cards,headed_goals,saves_made,punches,saves_made_from_outside_box,saves_made_parried,saves_made_from_inside_box,gk_unsuccessful_distribution,goals_from_outside_box,unsuccessful_layoffs,through_balls,second_goal_assists,goalkeeper_smother,catches,penalties_faced,penalties_saved,saves_from_penalty,set_pieces_goals,last_man_tackle,clearances_off_the_line,saves_made_caught,penalties_off_target,own_goal_scored,drops,crosses_not_claimed,other_goals
Aarón Escandell,Portero,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdallahi Mahmoud,Centrocampista,9,45,1,4,1,1,2,1,1,1,4,1,1,4,1,3,1,1,1,1,11,1,4,1,13,3,1,1,6,1,1,2,2,3,3,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdoulaye Diaby,Centrocampista,8,17,0,8,2,1,5,0,0,1,8,0,2,8,0,5,1,3,5,0,19,1,5,0,69,2,0,0,6,1,1,3,7,5,5,1,0,4,2,0,2,1,2,1,3,1,1,1,1,3,4,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adnan Januzaj,Centrocampista,9,185,0,94,4,25,64,0,2,0,43,16,3,97,2,74,0,18,29,2,167,6,27,31,100,24,9,3,30,0,6,6,35,76,79,3,3,6,21,0,7,4,1,3,16,0,0,9,2,4,11,3,13,0,0,1,6,2,3,1,9,1,6,2,16,5,2,7,6,1,5,1,2,1,4,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrián López,Delantero,8,314,3,94,12,23,56,0,1,21,55,17,1,96,4,71,3,23,23,4,152,8,25,22,25,24,4,15,61,3,8,16,26,71,73,36,1,37,9,1,3,4,1,1,22,1,2,4,1,1,16,9,3,0,0,0,15,1,1,0,5,0,25,0,13,6,3,0,3,0,2,3,0,0,0,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrián Marín,Defensa,9,80,0,33,1,9,12,0,1,0,12,14,1,34,1,25,1,8,6,1,55,2,5,13,13,2,0,1,6,1,2,4,0,25,26,1,1,4,1,0,0,1,0,0,7,0,1,0,0,2,2,1,0,0,0,6,0,0,0,0,0,0,12,1,6,0,2,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aihen Muñoz,Defensa,9,461,0,203,2,41,73,9,19,10,87,76,7,206,0,135,3,61,50,5,311,6,26,97,39,18,3,3,39,3,6,11,10,142,145,13,4,21,15,0,8,1,5,2,42,1,7,3,1,12,6,1,8,0,3,32,4,0,0,4,5,0,58,0,20,2,19,0,1,0,10,7,0,0,0,0,0,0,2,0,0,1,2,14,3,2,2,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aimar Oroz,Delantero,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aissa Mandi,Defensa,9,593,0,370,0,12,89,9,17,7,41,260,8,387,0,316,10,38,23,7,442,7,24,135,45,24,6,10,41,11,7,10,144,336,349,17,3,17,14,0,0,0,2,0,21,1,10,2,0,4,4,0,0,0,5,1,7,1,0,0,0,0,96,0,26,3,15,0,2,0,33,12,0,0,0,1,0,0,10,1,0,0,2,0,7,2,3,0,1,0,2,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aitor Fernández,Portero,8,630,0,89,1,0,15,28,48,0,50,92,0,156,0,74,10,49,34,7,209,7,1,102,21,0,0,0,1,11,7,1,33,57,107,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,21,0,50,0,15,0,0,0,33,5,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,77,0,1,0,0,0,0,12,3,4,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aitor Paredes,Defensa,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aitor Ruibal,Delantero,9,171,1,72,6,18,27,3,7,3,39,24,3,73,0,46,5,22,18,1,114,4,17,29,61,12,2,4,24,5,4,9,22,50,51,7,2,12,8,0,3,3,2,0,15,1,2,1,0,7,1,3,3,0,1,4,3,0,2,0,3,0,4,0,13,1,7,0,1,0,5,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Cifuentes Martínez,,9,180,0,21,0,0,16,26,41,0,41,8,0,65,0,1,3,41,38,2,72,2,1,61,40,1,1,0,1,3,2,0,2,6,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,2,0,0,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Perea,Centrocampista,9,76,0,25,8,0,17,0,1,0,15,5,2,25,0,17,1,5,6,0,57,3,17,8,27,7,1,0,17,1,3,10,5,20,20,0,1,10,7,0,0,3,2,1,4,0,0,1,2,2,4,1,1,0,1,0,2,0,0,2,4,0,12,3,10,0,0,0,0,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Soro,Centrocampista,8,57,0,15,2,1,9,0,0,2,7,3,1,15,0,11,4,4,4,0,27,3,12,4,18,5,4,0,14,4,3,7,8,11,11,2,0,9,5,0,0,3,1,0,4,0,4,0,0,2,2,1,0,0,1,0,2,0,0,1,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleix Vidal,Defensa,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alejandro Pozo,Centrocampista,9,360,0,158,4,15,79,11,17,5,60,44,8,160,0,111,3,38,45,4,251,4,25,69,47,15,4,2,32,3,4,12,72,121,122,7,5,17,13,0,12,0,7,0,21,0,3,0,1,12,2,2,12,0,3,25,9,0,3,1,2,0,4,0,24,3,5,0,0,0,11,9,0,0,0,0,0,0,5,0,0,0,2,1,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alejandro Berenguer Remiro,Delantero,8,283,2,88,7,32,66,2,2,7,58,16,4,98,3,74,2,23,36,3,175,5,23,22,100,12,3,1,31,2,5,12,22,65,75,8,1,19,11,1,11,2,5,1,21,1,3,4,9,13,12,5,18,0,3,1,5,1,4,7,4,4,22,4,9,3,5,19,3,0,1,1,1,0,6,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Isak,Delantero,9,398,7,75,8,25,39,0,0,12,39,20,2,79,5,58,1,20,19,5,133,7,21,18,43,20,3,10,43,1,7,11,17,55,59,22,2,23,10,0,1,2,2,6,20,0,1,12,0,5,28,2,1,2,0,0,7,1,3,0,5,0,19,3,12,1,2,0,6,0,1,2,0,1,0,0,0,0,0,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Espino,Defensa,9,765,0,179,9,17,59,15,28,13,114,62,23,182,1,100,8,66,55,9,369,9,59,96,33,39,4,8,80,8,9,28,17,115,116,21,13,41,31,0,11,0,7,2,38,0,9,2,5,13,8,5,11,0,10,43,15,0,2,5,4,0,52,0,42,9,22,0,0,0,16,11,0,0,0,0,0,0,15,1,0,1,4,20,6,2,0,5,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Pedraza,Delantero,9,485,0,252,8,75,96,12,19,10,95,107,7,255,2,191,2,58,44,6,414,6,43,81,50,40,10,14,67,4,6,17,11,194,197,24,5,27,26,0,15,0,0,0,39,0,8,2,5,14,15,4,15,0,2,42,11,0,7,6,9,0,88,2,31,5,29,0,2,0,6,8,0,1,0,0,0,0,13,1,0,1,5,3,4,4,2,6,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allan-Roméo Nyom,Defensa,8,654,0,200,14,37,90,15,27,17,124,50,16,203,3,117,7,73,74,8,367,8,58,101,29,44,8,19,94,8,8,33,46,127,130,36,10,50,25,0,17,0,9,2,46,2,16,2,8,20,11,4,17,0,6,30,18,0,3,10,2,0,19,2,35,11,16,1,0,0,13,9,0,0,0,0,0,0,6,0,0,1,6,5,5,1,2,10,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaitz Arbilla Zabala,Defensa,9,458,0,290,4,24,139,10,35,10,96,97,11,307,0,197,5,73,65,5,452,7,39,141,100,39,4,20,69,5,7,20,50,224,234,30,5,30,19,0,5,2,3,1,38,0,8,2,1,6,0,2,6,0,6,48,14,0,3,2,4,0,92,2,41,6,14,0,1,1,37,14,0,0,0,0,0,0,21,0,0,1,9,8,6,1,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ander Barrenetxea,Delantero,9,306,2,76,19,19,51,1,2,5,55,12,5,76,4,59,1,15,13,4,157,6,42,17,22,15,4,0,47,1,6,27,7,61,61,5,5,32,15,0,6,2,7,2,13,0,8,3,3,11,7,7,6,0,0,1,15,0,1,2,6,0,33,0,19,7,8,0,1,0,2,1,0,0,0,0,0,0,4,2,0,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ander Capa Rodríguez,Defensa,8,682,0,287,11,54,129,10,23,12,117,100,12,295,2,211,8,69,66,8,516,8,49,111,63,35,4,9,70,9,8,23,115,219,226,21,7,35,26,0,15,0,3,2,46,2,9,4,8,16,12,7,15,0,5,107,15,0,4,3,10,0,15,0,32,5,18,0,2,0,15,7,0,0,0,0,0,0,6,1,0,1,6,14,6,1,1,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ander Guevara Lajo,Centrocampista,9,288,1,176,4,29,78,4,7,2,50,65,5,179,3,137,2,36,25,3,222,6,19,71,21,12,2,4,25,2,6,11,38,140,143,6,3,13,8,0,0,3,2,0,29,1,3,0,0,5,0,0,0,0,2,1,7,0,0,0,1,0,41,1,18,5,11,0,0,0,6,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andoni Gorosabel,Defensa,9,677,1,290,9,64,151,8,21,5,121,85,24,296,2,214,3,68,69,8,510,8,71,121,55,39,10,3,79,3,8,35,96,224,228,8,16,40,36,0,20,0,8,2,47,0,12,2,10,22,15,3,20,0,8,77,8,0,8,8,2,0,15,1,39,5,19,0,0,0,14,8,0,0,0,0,0,0,6,0,0,1,3,10,9,1,1,8,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andoni Zubiaurre,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Paulo Santos da Costa,Portero,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andriy Lunin,Portero,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrés Fernández,Portero,9,810,0,178,0,0,19,44,84,1,90,165,0,268,0,135,12,84,53,9,350,9,1,149,33,5,2,4,6,15,9,0,58,135,184,5,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,61,0,64,0,31,0,0,0,49,10,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2,78,0,3,0,0,0,0,15,7,5,4,10,23,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0
Andrés Guardado,Centrocampista,9,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,100,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anssumane Fati,Delantero,7,436,5,192,20,69,138,0,0,4,70,29,9,197,6,165,5,32,28,6,299,7,64,29,78,33,11,2,70,5,7,33,17,160,165,6,4,37,31,2,1,1,4,6,32,1,6,13,9,6,44,12,2,0,5,1,18,4,1,2,11,1,82,1,13,7,6,4,7,0,0,0,0,2,1,4,0,0,3,2,4,0,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ante Budimir,Delantero,8,112,3,24,4,6,9,0,0,7,20,4,1,25,0,13,2,12,11,1,47,2,10,6,96,15,2,12,29,3,2,7,7,12,13,19,0,14,3,0,0,1,2,2,12,1,2,4,1,3,8,2,0,0,1,0,3,1,0,0,0,0,6,2,4,2,1,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ante Palaversa,Centrocampista,8,4,0,7,0,0,1,0,1,0,3,3,0,7,0,4,0,3,3,0,7,1,1,4,1,0,0,0,1,0,1,1,2,4,4,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Lozano,Delantero,9,420,2,70,11,12,31,0,1,27,70,11,4,72,6,39,7,32,34,6,157,8,53,31,91,39,10,16,96,7,8,30,12,38,40,43,1,57,23,1,3,2,0,2,31,0,19,8,2,2,25,4,3,0,3,0,15,1,5,2,10,0,17,1,14,10,1,0,6,0,1,1,0,0,0,1,0,0,2,3,1,0,0,0,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antoine Griezmann,Centrocampista,7,440,4,161,1,35,108,0,0,3,33,35,6,166,5,140,6,23,15,6,219,7,22,22,61,18,8,2,27,6,7,6,70,138,143,5,4,9,16,0,0,1,1,7,23,1,1,11,3,4,24,0,0,1,2,0,11,2,1,0,2,0,39,1,9,4,8,1,4,0,3,5,2,0,0,2,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Barragán,Defensa,7,360,0,197,3,15,44,8,12,1,36,142,5,210,0,167,4,24,14,4,257,4,15,89,41,10,0,4,20,5,4,9,79,174,186,5,3,10,6,0,3,0,2,1,12,0,5,1,0,3,1,1,3,0,2,4,10,0,0,0,1,0,27,0,19,7,13,0,0,0,19,5,0,0,0,0,0,0,7,0,0,0,0,0,3,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Antonio Rodríguez Díaz,Centrocampista,8,518,2,141,14,35,67,3,7,17,92,31,6,142,3,94,4,46,48,6,246,7,44,43,21,34,5,14,75,5,7,24,38,95,96,31,3,41,20,0,13,1,4,3,39,0,5,6,3,13,19,7,13,1,3,4,15,0,4,2,10,0,26,1,19,4,11,0,3,0,2,3,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Sanabria,Delantero,9,533,4,116,12,41,55,1,3,18,65,39,1,128,5,92,11,34,32,6,214,8,38,22,95,36,8,20,76,12,8,22,27,82,94,38,1,40,16,0,4,2,4,6,31,2,11,16,0,9,29,7,4,0,0,0,12,2,5,0,7,0,38,0,18,6,6,0,10,0,2,2,0,0,0,2,0,0,3,1,2,0,1,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Sivera Salvá,Portero,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Zarzana,Delantero,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Cortés Heredia,Delantero,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aridane Hernández,Defensa,8,299,0,94,1,17,23,5,8,3,27,47,3,95,1,58,1,25,11,4,135,4,10,47,48,21,5,15,28,1,4,4,21,70,70,18,3,7,6,0,0,0,1,0,17,0,3,0,2,2,2,0,0,0,0,0,8,0,0,0,0,0,10,0,14,3,14,0,0,0,12,18,0,0,0,0,0,0,1,0,0,0,3,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aritz Arambarri murua,Defensa,9,25,0,15,1,3,4,1,1,1,8,8,1,15,0,12,1,3,1,0,24,1,3,7,25,2,0,1,5,1,1,2,4,12,12,2,1,3,1,0,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aritz Castro,Portero,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aritz Elustondo,Defensa,9,720,0,405,2,17,132,17,30,14,86,214,12,420,0,311,3,74,53,8,507,8,33,182,61,46,12,23,70,3,8,10,164,335,346,37,5,24,23,0,2,0,3,2,44,0,8,2,1,4,8,1,2,0,7,3,12,0,0,0,1,0,57,1,27,4,23,0,0,0,35,22,0,0,0,0,0,0,8,0,0,0,7,2,2,2,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnau Tenas,Portero,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asier Córdoba,Centrocampista,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
