name,position,team_games_played,time_played,successful_layoffs,open_play_passes,times_tackled,backward_passes,successful_passes_opposition_half,unsuccessful_launches,unsuccessful_long_passes,aerial_duels_lost,total_losses_of_possession,successful_passes_own_half,total_tackles,total_passes,substitute_off,successful_short_passes,goals_conceded_inside_box,total_unsuccessful_passes_excl_crosses_corners,unsuccessful_passes_opposition_half,starts,touches,appearances,ground_duels,forward_passes,index,duels_won,total_fouls_won,aerial_duels_won,duels,goals_conceded,games_played,ground_duels_lost,leftside_passes,successful_open_play_passes,total_successful_passes_excl_crosses_corners,aerial_duels,tackles_won,duels_lost,ground_duels_won,winning_goal,unsuccessful_crosses_open_play,substitute_on,putthrough_blocked_distribution_won,shots_off_target_inc_woodwork,unsuccessful_short_passes,penalty_goals_conceded,total_fouls_conceded,total_shots,key_passes_attempt_assists,putthrough_blocked_distribution,total_touches_in_opposition_box,unsuccessful_dribbles,unsuccessful_crosses_corners,hit_woodwork,tackles_lost,throw_ins_to_own_player,fifty_fifty,goals,corners_won,successful_crosses_corners,successful_dribbles,successful_corners_into_box,rightside_passes,blocked_shots,recoveries,successful_fifty_fifty,unsuccessful_passes_own_half,corners_taken_incl_short_corners,shots_on_target_inc_goals,attempts_from_set_pieces,successful_long_passes,total_clearances,left_foot_goals,foul_won_penalty,unsuccessful_corners_into_box,goals_from_inside_box,penalties_taken,penalty_goals,interceptions,offsides,right_foot_goals,goal_assists,successful_launches,throw_ins_to_opposition_player,foul_attempted_tackle,yellow_cards,blocks,successful_crosses_open_play,handballs_conceded,assists_intentional,clean_sheets,gk_successful_distribution,penalties_conceded,goals_conceded_outside_box,total_red_cards,red_cards_2nd_yellow,straight_red_cards,headed_goals,saves_made,punches,saves_made_from_outside_box,saves_made_parried,saves_made_from_inside_box,gk_unsuccessful_distribution,goals_from_outside_box,unsuccessful_layoffs,through_balls,second_goal_assists,goalkeeper_smother,catches,penalties_faced,penalties_saved,saves_from_penalty,set_pieces_goals,last_man_tackle,clearances_off_the_line,saves_made_caught,penalties_off_target,own_goal_scored,drops,crosses_not_claimed,other_goals
Gonzalo Cretazz,Portero,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorka Guruzeta Rodríguez,Delantero,10,491,1,96,20,38,45,2,4,14,68,33,7,104,5,74,4,26,29,6,199,9,62,26,10,29,7,9,85,4,9,42,18,70,78,23,2,56,20,0,9,3,7,3,22,0,15,6,4,10,17,9,9,0,5,0,14,0,5,0,6,0,22,3,23,8,6,0,3,0,4,3,0,0,0,0,0,0,2,5,0,0,0,0,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorka Pérez,Defensa,10,669,0,363,2,20,52,13,27,16,68,255,10,372,1,282,7,65,31,7,464,8,28,136,10,37,5,23,67,7,8,14,106,298,307,39,9,30,14,0,0,1,2,1,38,1,8,1,0,3,3,0,0,0,1,4,7,0,1,0,0,0,110,1,24,3,34,0,0,0,25,39,0,0,0,0,0,0,7,1,0,0,6,1,4,1,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gregorio Sierra,Centrocampista,10,845,0,473,4,26,123,30,62,21,127,254,16,494,3,342,9,117,78,10,614,10,61,230,10,57,15,22,104,10,10,26,70,356,377,43,10,47,35,0,0,0,3,2,55,2,19,3,4,11,1,2,0,0,6,1,5,0,1,0,4,0,168,1,49,1,39,0,1,0,35,32,0,0,0,0,0,0,12,0,0,0,5,0,10,4,4,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Guillem Jaime,Defensa,11,210,0,114,6,30,37,2,4,2,44,59,2,118,1,91,5,22,25,2,184,3,14,36,10,9,0,1,17,5,3,6,46,92,96,3,1,8,8,0,10,1,1,1,18,0,0,1,1,4,2,3,10,0,1,19,0,0,4,0,6,0,6,1,11,0,7,0,0,0,5,1,0,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillermo Rosas,Defensa,11,460,0,165,6,44,56,6,8,6,52,85,12,167,1,135,3,28,24,5,297,6,42,45,10,26,2,3,51,4,6,19,75,137,139,9,7,25,23,0,9,1,4,0,20,0,7,0,3,7,2,3,9,0,5,51,0,0,2,2,9,0,3,0,21,0,13,0,0,0,4,12,0,0,0,0,0,0,5,3,0,0,2,3,5,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Moreno,Centrocampista,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luís Gustavo Ledes Evangelista dos Santos,Centrocampista,11,378,0,226,2,44,100,0,3,4,27,123,5,239,3,209,7,18,17,4,292,10,26,44,10,18,8,5,35,8,10,13,78,208,221,9,3,17,13,0,1,6,0,0,15,0,6,2,3,3,0,1,4,0,2,2,1,0,2,2,0,0,73,1,15,1,5,3,2,0,12,6,0,0,2,0,0,0,10,0,0,0,0,0,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haris Vuckic,Delantero,10,341,3,78,0,22,39,0,3,11,37,12,2,80,4,51,1,29,21,4,113,7,12,25,10,12,4,5,28,3,7,5,19,50,51,16,1,16,7,0,0,3,2,4,26,0,5,5,4,5,10,0,0,0,1,0,7,0,2,0,1,0,14,1,8,5,8,0,1,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hicham Boussefiane,Centrocampista,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
